IKN,İhale Kayıt No,İhale Adı,İhale Türü - Usulü,Kısmi Teklif,İhale Branş Kodları (OKAS),İhale Onay Tarihi,İlanın Şekli,İşin Yapılacağı Yer,İhale Yeri - Tarihi - Saati,İhale Durumu,Bağlı Olduğu En Üst İdare,Bağlı Olduğu İdare,İhaleyi Yapan İdare Adı,İdarenin İli,İdare Adı,İlk,Yaklaşık Maliyet,Yabancı Para Birimi Cinsinden Yaklaşık Maliyet,Sözleşme Tarihi,En Yüksek Teklif,En Düşük Teklif,Devir Bilgisi,Fesih Tarihi,Fesih Nedeni,İlk_parsed,Yaklaşık Maliyet_parsed,En Düşük Teklif_parsed,En Yüksek Teklif_parsed,pct_lowest_vs_estimate,pct_bid_spread,IhaleYeri_location,IhaleYeri_datetime
2023/1486987,2023/1486987e-ihale,Hatay Orman Bölge Müdürlüğüne Z+1 den ibaret 2 katlı 15 bloktan olmak üzere toplam 10500 m2 inşaat alanlı Lojman Yapım İşi,Yapım - Pazarlık - Pazarlık (MD 21 B),Verilemez,452100001,14.12.2023,Sonuç İlanı,"Hatay İli, Antakya İlçesi, Serinyol Orman Fidanlığı Yerleşkesi",Antakya Orman İşletme Müdürlüğü - 22.12.2023 10:00,Sonuç İlanı Yayımlanmış,DİĞER ÖZEL BÜTÇELİ KURULUŞLAR,ORMAN GENEL MÜDÜRLÜĞÜ,Orman İşletme Müdürlüğü-Antakya DİĞER ÖZEL BÜTÇELİ KURULUŞLAR ORMAN GENEL MÜDÜRLÜĞÜ,HATAY,,"354.500.000,00 TRY","323.417.549,08 TRY",,08.01.2024,"354.500.000,00 TRY","354.500.000,00 TRY",Yok,,,354500000,323417549.08,354500000,354500000,9.610625956574644,0,Antakya Orman İşletme Müdürlüğü,22.12.2023 10:00
2023/1520544,2023/1520544e-ihale,Kırıkhan İlçesi Karataş Mahallesi 1-2 Etap 1962 Adet konut Bölgesi 24 Derslikli İlkokul Yapım İşi,Yapım - Pazarlık - Pazarlık (MD 21 B),Verilemez,45000000,20.12.2023,Sonuç İlanı,Kırıkhan/HATAY,Hatay Valiliği Yatırım İzleme ve Koordinasyon Başkanlığı Mustafa Kemal Üniversitesi Tayfur Sökmen Kampüsü Geçici Yerleşkesi - 21.12.2023 16:00,Sonuç İlanı Yayımlanmış,YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIKLARI,HATAY YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIĞI,YATIRIM İZLEME MÜDÜRLÜĞÜ YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIKLARI HATAY YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIĞI,HATAY,,"84.100.000,00 TRY","84.706.483,11 TRY",,10.01.2024,"84.100.000,00 TRY","84.100.000,00 TRY",Yok,,,84100000,84706483.11,84100000,84100000,-0.7159819269233728,0,Hatay Valiliği Yatırım İzleme ve Koordinasyon Başkanlığı Mustafa Kemal Üniversitesi Tayfur Sökmen Kampüsü Geçici Yerleşkesi,21.12.2023 16:00
2023/1514177,2023/1514177e-ihale,Defne İlçesi Orhanlı Mahallesi 1-2 Etap 3069 Adet Konut Bölgesi 24 Derslikli Lise Yapım İşi,Yapım - Pazarlık - Pazarlık (MD 21 B),Verilemez,45000000,18.12.2023,Sonuç İlanı,Defne/HATAY,Hatay Valiliği Yatırım İzleme ve Koordinasyon Başkanlığı Mustafa Kemal Üniversitesi Tayfur Sökmen Kampüsü Geçici Yerleşkesi - 21.12.2023 14:30,Sonuç İlanı Yayımlanmış,YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIKLARI,HATAY YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIĞI,YATIRIM İZLEME MÜDÜRLÜĞÜ YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIKLARI HATAY YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIĞI,HATAY,,"81.000.000,00 TRY","81.395.924,77 TRY",,05.01.2024,"81.000.000,00 TRY","81.000.000,00 TRY",Yok,,,81000000,81395924.77,81000000,81000000,-0.48641841851266904,0,Hatay Valiliği Yatırım İzleme ve Koordinasyon Başkanlığı Mustafa Kemal Üniversitesi Tayfur Sökmen Kampüsü Geçici Yerleşkesi,21.12.2023 14:30
2023/1517437,2023/1517437e-ihale,Antakya İlçesi 6 Bölge 1 -2 Etap 2990 Adet Konut Bölgesi 24 Derslikli Lise Yapım İşi,Yapım - Pazarlık - Pazarlık (MD 21 B),Verilemez,45000000,20.12.2023,Sonuç İlanı,Antakya/HATAY,Hatay Valiliği Yatırım İzleme ve Koordinasyon Başkanlığı Mustafa Kemal Üniversitesi Tayfur Sökmen Kampüsü Geçici Yerleşkesi - 21.12.2023 13:30,Sonuç İlanı Yayımlanmış,YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIKLARI,HATAY YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIĞI,YATIRIM İZLEME MÜDÜRLÜĞÜ YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIKLARI HATAY YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIĞI,HATAY,,"81.098.000,00 TRY","81.395.924,77 TRY",,15.01.2024,"81.098.000,00 TRY","81.098.000,00 TRY",Yok,,,81098000,81395924.77,81098000,81098000,-0.3660192704264251,0,Hatay Valiliği Yatırım İzleme ve Koordinasyon Başkanlığı Mustafa Kemal Üniversitesi Tayfur Sökmen Kampüsü Geçici Yerleşkesi,21.12.2023 13:30
2023/1508370,2023/1508370e-ihale,Kırıkhan İlçesi Karataş Mahallesi 1-2Etap 1962 Adet Konut Bölgesi 24 Derslikli Ortaokul Yapım İşi,Yapım - Pazarlık - Pazarlık (MD 21 B),Verilemez,45000000,18.12.2023,Sonuç İlanı,Kırıkhan/HATAY,Hatay Valiliği Yatırım İzleme ve Koordinasyon Başkanlığı Mustafa Kemal Üniversitesi Tayfur Sökmen Kampüsü Geçici Yerleşkesi - 20.12.2023 16:00,Sonuç İlanı Yayımlanmış,YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIKLARI,HATAY YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIĞI,YATIRIM İZLEME MÜDÜRLÜĞÜ YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIKLARI HATAY YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIĞI,HATAY,,"79.700.000,00 TRY","80.224.300,68 TRY",,05.01.2024,"79.700.000,00 TRY","79.700.000,00 TRY",Yok,,,79700000,80224300.68,79700000,79700000,-0.6535434719354504,0,Hatay Valiliği Yatırım İzleme ve Koordinasyon Başkanlığı Mustafa Kemal Üniversitesi Tayfur Sökmen Kampüsü Geçici Yerleşkesi,20.12.2023 16:00
2023/1507754,2023/1507754e-ihale,"İskenderun İlçesi Cebike Mahallesi, Düğünyurdu, Aşkarbeyli 2-3Etap 3986 Adet Konut Bölgesi 24 Derslikli Ortaokul (2 Kısım) Yapım İşi",Yapım - Pazarlık - Pazarlık (MD 21 B),Verilemez,45000000,18.12.2023,Sonuç İlanı,İskenderun/HATAY,Hatay Valiliği Yatırım İzleme ve Koordinasyon Başkanlığı Mustafa Kemal Üniversitesi Tayfur Sökmen Kampüsü Geçici Yerleşkesi - 20.12.2023 15:00,Sonuç İlanı Yayımlanmış,YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIKLARI,HATAY YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIĞI,YATIRIM İZLEME MÜDÜRLÜĞÜ YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIKLARI HATAY YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIĞI,HATAY,,"79.980.000,00 TRY","80.224.300,68 TRY",,08.01.2024,"79.980.000,00 TRY","79.980.000,00 TRY",Yok,,,79980000,80224300.68,79980000,79980000,-0.30452204373145947,0,Hatay Valiliği Yatırım İzleme ve Koordinasyon Başkanlığı Mustafa Kemal Üniversitesi Tayfur Sökmen Kampüsü Geçici Yerleşkesi,20.12.2023 15:00
2023/1506932,2023/1506932e-ihale,"İskenderun İlçesi Cebike Mahallesi, Düğünyurdu, Aşkarbeyli 2-3Etap 3986 Adet Konut Bölgesi 24 Derslikli Ortaokul (1 Kısım) Yapım İşi)",Yapım - Pazarlık - Pazarlık (MD 21 B),Verilemez,45000000,18.12.2023,Sonuç İlanı,İskenderun/HATAY,Hatay Valiliği Yatırım İzleme ve Koordinasyon Başkanlığı Mustafa Kemal Üniversitesi Tayfur Sökmen Kampüsü Geçici Yerleşkesi - 20.12.2023 13:30,Sonuç İlanı Yayımlanmış,YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIKLARI,HATAY YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIĞI,YATIRIM İZLEME MÜDÜRLÜĞÜ YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIKLARI HATAY YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIĞI,HATAY,,"80.150.000,00 TRY","80.224.300,68 TRY",,08.01.2024,"80.150.000,00 TRY","80.150.000,00 TRY",Yok,,,80150000,80224300.68,80150000,80150000,-0.09261617660760786,0,Hatay Valiliği Yatırım İzleme ve Koordinasyon Başkanlığı Mustafa Kemal Üniversitesi Tayfur Sökmen Kampüsü Geçici Yerleşkesi,20.12.2023 13:30
2023/1483751,2023/1483751e-ihale,DEFNE ASM TSM VE 112 TADİLAT  YAPIM İŞİ,Yapım - Pazarlık - Pazarlık (MD 21 B),Verilemez,452100001,14.12.2023,Sonuç İlanı,DEFNE ASM TSM VE 112,Hatay İl Sağlık Müdürlüğü - Güzelburç Mah. Cabirağa Sk. No:78 | Antakya/Hatay  - 20.12.2023 13:00,Sonuç İlanı Yayımlanmış,SAĞLIK BAKANLIĞI,BAKAN YARDIMCILIKLARI,İl Sağlık Müdürlüğü SAĞLIK BAKANLIĞI BAKAN YARDIMCILIKLARI,HATAY,,"3.840.000,00 TRY","3.982.444,21 TRY",,03.01.2024,"3.840.000,00 TRY","3.840.000,00 TRY",Yok,,,3840000,3982444.21,3840000,3840000,-3.576803653452812,0,Hatay İl Sağlık Müdürlüğü - Güzelburç Mah. Cabirağa Sk. No:78 | Antakya/Hatay,20.12.2023 13:00
2023/1499995,2023/1499995e-ihale,Dörtyol İlçesi Bahçelievler Mahallesi 1234 Etap 2721 Adet Konut Bölgesi 24 Derslikli Ortaokul Yapım İşi,Yapım - Pazarlık - Pazarlık (MD 21 B),Verilemez,45000000,18.12.2023,Sonuç İlanı,Dörtyol/HATAY,Hatay Valiliği Yatırım İzleme ve Koordinasyon Başkanlığı Mustafa Kemal Üniversitesi Tayfur Sökmen Kampüsü Geçici Yerleşkesi - 19.12.2023 17:00,Sonuç İlanı Yayımlanmış,YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIKLARI,HATAY YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIĞI,YATIRIM İZLEME MÜDÜRLÜĞÜ YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIKLARI HATAY YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIĞI,HATAY,,"80.185.000,00 TRY","80.224.300,68 TRY",,05.01.2024,"80.185.000,00 TRY","80.185.000,00 TRY",Yok,,,80185000,80224300.68,80185000,80185000,-0.04898849808210899,0,Hatay Valiliği Yatırım İzleme ve Koordinasyon Başkanlığı Mustafa Kemal Üniversitesi Tayfur Sökmen Kampüsü Geçici Yerleşkesi,19.12.2023 17:00
2023/1500460,2023/1500460e-ihale,Hassa İlçesi Aşağıkarafakılı Mahallesi 1234Etap 3878 Adet Konut Bölgesi 24 Derslikli Ortaokul Yapım İşi,Yapım - Pazarlık - Pazarlık (MD 21 B),Verilemez,45000000,18.12.2023,Sonuç İlanı,Hassa/HATAY,Hatay Valiliği Yatırım İzleme ve Koordinasyon Başkanlığı Mustafa Kemal Üniversitesi Tayfur Sökmen Kampüsü Geçici Yerleşkesi - 19.12.2023 17:00,Sonuç İlanı Yayımlanmış,YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIKLARI,HATAY YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIĞI,YATIRIM İZLEME MÜDÜRLÜĞÜ YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIKLARI HATAY YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIĞI,HATAY,,"80.000.000,00 TRY","80.224.300,68 TRY",,08.01.2024,"87.500.000,00 TRY","80.000.000,00 TRY",Yok,,,80000000,80224300.68,80000000,87500000,-0.27959194171688867,9.375,Hatay Valiliği Yatırım İzleme ve Koordinasyon Başkanlığı Mustafa Kemal Üniversitesi Tayfur Sökmen Kampüsü Geçici Yerleşkesi,19.12.2023 17:00
2023/1501147,2023/1501147e-ihale,Antakya İlçesi 5 Bölge 1-2 Etap 3558 Adet Konut Bölgesi 24 Derslikli İlkokul Yapım İşi,Yapım - Pazarlık - Pazarlık (MD 21 B),Verilemez,45000000,18.12.2023,Sonuç İlanı,Antakya/HATAY,Hatay Valiliği Yatırım İzleme ve Koordinasyon Başkanlığı Mustafa Kemal Üniversitesi Tayfur Sökmen Kampüsü Geçici Yerleşkesi - 19.12.2023 16:30,Sonuç İlanı Yayımlanmış,YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIKLARI,HATAY YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIĞI,YATIRIM İZLEME MÜDÜRLÜĞÜ YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIKLARI HATAY YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIĞI,HATAY,,"82.500.000,00 TRY","84.706.483,11 TRY",,08.01.2024,"82.500.000,00 TRY","82.500.000,00 TRY",Yok,,,82500000,84706483.11,82500000,82500000,-2.6048574193956986,0,Hatay Valiliği Yatırım İzleme ve Koordinasyon Başkanlığı Mustafa Kemal Üniversitesi Tayfur Sökmen Kampüsü Geçici Yerleşkesi,19.12.2023 16:30
2023/1499481,2023/1499481e-ihale,Defne İlçesi Orhanlı Mahallesi 1-2 Etap 3069 Adet Konut Bölgesi 24 Derslikli Ortaokul Yapım İşi,Yapım - Pazarlık - Pazarlık (MD 21 B),Verilemez,45000000,18.12.2023,Sonuç İlanı,Defne/HATAY,Hatay Valiliği Yatırım İzleme ve Koordinasyon Başkanlığı Mustafa Kemal Üniversitesi Tayfur Sökmen Kampüsü Geçici Yerleşkesi - 19.12.2023 15:30,Sonuç İlanı Yayımlanmış,YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIKLARI,HATAY YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIĞI,YATIRIM İZLEME MÜDÜRLÜĞÜ YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIKLARI HATAY YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIĞI,HATAY,,"79.365.000,00 TRY","80.224.300,68 TRY",,08.01.2024,"79.700.000,00 TRY","79.365.000,00 TRY",Yok,,,79365000,80224300.68,79365000,79700000,-1.0711226806795109,0.42210042210042215,Hatay Valiliği Yatırım İzleme ve Koordinasyon Başkanlığı Mustafa Kemal Üniversitesi Tayfur Sökmen Kampüsü Geçici Yerleşkesi,19.12.2023 15:30
2023/1489968,2023/1489968e-ihale,Antakya İlçesi 7 Bölge 1-2 Etap 2195 Adet Konut Bölgesi 24 Derslikli Ortaokul Yapım İşi,Yapım - Pazarlık - Pazarlık (MD 21 B),Verilemez,45000000,18.12.2023,Sonuç İlanı,Antakya-HATAY,Mustafa Kemal Üniversitesi Tayfur Sökmen Kampüsü Geçici Yerleşkesi - 19.12.2023 15:30,Sonuç İlanı Yayımlanmış,YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIKLARI,HATAY YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIĞI,YATIRIM İZLEME MÜDÜRLÜĞÜ YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIKLARI HATAY YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIĞI,HATAY,,"79.900.000,00 TRY","80.224.300,68 TRY",,05.01.2024,"79.900.000,00 TRY","79.900.000,00 TRY",Yok,,,79900000,80224300.68,79900000,79900000,-0.40424245178974255,0,Mustafa Kemal Üniversitesi Tayfur Sökmen Kampüsü Geçici Yerleşkesi,19.12.2023 15:30
2023/1490575,2023/1490575e-ihale,Antakya İlçesi 5 Bölge 1-2 Etap 3558 Adet Konut Bölgesi 24 Derslikli Ortaokul Yapım İşi,Yapım - Pazarlık - Pazarlık (MD 21 B),Verilemez,45000000,15.12.2023,Sonuç İlanı,Antakya-HATAY,Mustafa Kemal Üniversitesi Tayfur Sökmen Kampüsü Geçici Yerleşkesi - 18.12.2023 16:30,Sonuç İlanı Yayımlanmış,YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIKLARI,HATAY YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIĞI,YATIRIM İZLEME MÜDÜRLÜĞÜ YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIKLARI HATAY YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIĞI,HATAY,,"79.990.000,00 TRY","80.224.300,68 TRY",,05.01.2024,"79.990.000,00 TRY","79.990.000,00 TRY",Yok,,,79990000,80224300.68,79990000,79990000,-0.29205699272417407,0,Mustafa Kemal Üniversitesi Tayfur Sökmen Kampüsü Geçici Yerleşkesi,18.12.2023 16:30
2023/1389314,2023/1389314e-ihale,3 KISIM İÇ VE DIŞ YÖNLENDİRME TABELA YAPIM İŞİ,Yapım - Pazarlık - Pazarlık (MD 21 B),Verilebilir,45000000,05.12.2023,Sonuç İlanı,Defne Devlet Hastanesi.-İskenderun Devlet Hastanesi- Kırıkhan Devlet Hastanesi,Hatay İl Sağlık Müdürlüğü - Güzelburç Mah. Cabirağa Sk. No:78 | Antakya/Hatay  - 18.12.2023 13:00,Sonuç İlanı Yayımlanmış,SAĞLIK BAKANLIĞI,BAKAN YARDIMCILIKLARI,İl Sağlık Müdürlüğü SAĞLIK BAKANLIĞI BAKAN YARDIMCILIKLARI,HATAY,,"561.600,00 TRY","543.662,50 TRY",,04.01.2024,"561.600,00 TRY","561.600,00 TRY",Yok,,,561600,543662.5,561600,561600,3.2993815096682226,0,Hatay İl Sağlık Müdürlüğü - Güzelburç Mah. Cabirağa Sk. No:78 | Antakya/Hatay,18.12.2023 13:00
2023/1471414,2023/1471414e-ihale,Payas İlçesi Çağlalık Mahallesi 1351 Adet Konut Bölgesi 24 Derslikli İlkokul Yapım İşi,Yapım - Pazarlık - Pazarlık (MD 21 B),Verilemez,45000000,12.12.2023,Sonuç İlanı,Payas/HATAY,Hatay Valiliği Yatırım İzleme ve Koordinasyon Başkanlığı Mustafa Kemal Üniversitesi Tayfur Sökmen Kampüsü Geçici Yerleşkesi - 15.12.2023 17:00,Sonuç İlanı Yayımlanmış,YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIKLARI,HATAY YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIĞI,YATIRIM İZLEME MÜDÜRLÜĞÜ YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIKLARI HATAY YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIĞI,HATAY,,"83.950.000,00 TRY","84.706.483,11 TRY",,05.01.2024,"83.950.000,00 TRY","83.950.000,00 TRY",Yok,,,83950000,84706483.11,83950000,83950000,-0.8930640043426535,0,Hatay Valiliği Yatırım İzleme ve Koordinasyon Başkanlığı Mustafa Kemal Üniversitesi Tayfur Sökmen Kampüsü Geçici Yerleşkesi,15.12.2023 17:00
2023/1455301,2023/1455301e-ihale,Hassa İlçesi Aşağıkarafakılı Mahallesi 1-2-3-4 Etap 3878 Adet Konut Bölgesi  24 Derslikli İlkokul Yapım İşi,Yapım - Pazarlık - Pazarlık (MD 21 B),Verilemez,45000000,11.12.2023,Sonuç İlanı,Hassa-HATAY,Mustafa Kemal Üniversitesi Tayfur Sökmen Kampüsü Geçici Yerleşkesi - 14.12.2023 16:30,Sonuç İlanı Yayımlanmış,YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIKLARI,HATAY YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIĞI,YATIRIM İZLEME MÜDÜRLÜĞÜ YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIKLARI HATAY YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIĞI,HATAY,,"79.750.000,00 TRY","84.706.483,11 TRY",,05.01.2024,"94.990.000,00 TRY","79.750.000,00 TRY",Yok,,,79750000,84706483.11,79750000,94990000,-5.851362172082509,19.109717868338556,Mustafa Kemal Üniversitesi Tayfur Sökmen Kampüsü Geçici Yerleşkesi,14.12.2023 16:30
2023/1456510,2023/1456510e-ihale,Dörtyol İlçesi Bahçelievler Mahallesi 1-2-3-4 Etap 2721 Adet Konut Bölgesi 24 Derslikli İlkokul Yapım İşi,Yapım - Pazarlık - Pazarlık (MD 21 B),Verilemez,45000000,11.12.2023,Sonuç İlanı,Dörtyol-HATAY,Mustafa Kemal Üniversitesi Tayfur Sökmen Kampüsü Geçici Yerleşkesi - 14.12.2023 15:30,Sonuç İlanı Yayımlanmış,YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIKLARI,HATAY YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIĞI,YATIRIM İZLEME MÜDÜRLÜĞÜ YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIKLARI HATAY YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIĞI,HATAY,,"83.750.000,00 TRY","84.706.483,11 TRY",,05.01.2024,"84.500.000,00 TRY","83.750.000,00 TRY",Yok,,,83750000,84706483.11,83750000,84500000,-1.129173440901694,0.8955223880597015,Mustafa Kemal Üniversitesi Tayfur Sökmen Kampüsü Geçici Yerleşkesi,14.12.2023 15:30
2023/1456451,2023/1456451e-ihale,Defne İlçesi Orhanlı Mahallesi 1-2 Etap 3069 Adet Konut Bölgesi 24 Derslikli İlkokul Yapım İşi,Yapım - Pazarlık - Pazarlık (MD 21 B),Verilemez,45000000,11.12.2023,Sonuç İlanı,Defne/HATAY,Hatay Valiliği Yatırım İzleme ve Koordinasyon Başkanlığı Mustafa Kemal Üniversitesi Tayfur Sökmen Kampüsü Geçici Yerleşkesi - 14.12.2023 14:30,Sonuç İlanı Yayımlanmış,YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIKLARI,HATAY YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIĞI,YATIRIM İZLEME MÜDÜRLÜĞÜ YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIKLARI HATAY YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIĞI,HATAY,,"80.200.000,00 TRY","84.706.483,11 TRY",,03.01.2024,"82.000.000,00 TRY","80.200.000,00 TRY",Yok,,,80200000,84706483.11,80200000,82000000,-5.320115939824667,2.2443890274314215,Hatay Valiliği Yatırım İzleme ve Koordinasyon Başkanlığı Mustafa Kemal Üniversitesi Tayfur Sökmen Kampüsü Geçici Yerleşkesi,14.12.2023 14:30
2023/1455457,2023/1455457e-ihale,Antakya İlçesi 7 Bölge 1-2 Etap 2195 Adet Konut Bölgesi 24 Derslikli İlkokul Yapım İşi,Yapım - Pazarlık - Pazarlık (MD 21 B),Verilemez,45000000,11.12.2023,Sonuç İlanı,Antakya/HATAY,Hatay Valiliği Yatırım İzleme ve Koordinasyon Başkanlığı Mustafa Kemal Üniversitesi Tayfur Sökmen Kampüsü Geçici Yerleşkesi - 14.12.2023 13:30,Sonuç İlanı Yayımlanmış,YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIKLARI,HATAY YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIĞI,YATIRIM İZLEME MÜDÜRLÜĞÜ YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIKLARI HATAY YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIĞI,HATAY,,"83.910.000,00 TRY","84.706.483,11 TRY",,05.01.2024,"91.000.574,87 TRY","83.910.000,00 TRY",Yok,,,83910000,84706483.11,83910000,91000574.87,-0.9402858916544616,8.450214360624484,Hatay Valiliği Yatırım İzleme ve Koordinasyon Başkanlığı Mustafa Kemal Üniversitesi Tayfur Sökmen Kampüsü Geçici Yerleşkesi,14.12.2023 13:30
2023/1450297,2023/1450297e-ihale,Antakya İlçesi 6 Bölge 1 -2 Etap 2990 Adet Konut Bölgesi (142 Ada 103 Parsel) 24 Derslikli İlkokul Yapım İşi,Yapım - Pazarlık - Pazarlık (MD 21 B),Verilemez,45000000,08.12.2023,Sonuç İlanı,Antakya/HATAY,Hatay Valiliği Yatırım İzleme ve Koordinasyon Başkanlığı Mustafa Kemal Üniversitesi Tayfur Sökmen Kampüsü Geçici Yerleşkesi - 13.12.2023 16:30,Sonuç İlanı Yayımlanmış,YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIKLARI,HATAY YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIĞI,YATIRIM İZLEME MÜDÜRLÜĞÜ YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIKLARI HATAY YATIRIM İZLEME VE KOORDİNASYON BAŞKANLIĞI,HATAY,,"83.217.000,00 TRY","84.706.483,11 TRY",,04.01.2024,"120.000.000,00 TRY","83.217.000,00 TRY",Yok,,,83217000,84706483.11,83217000,120000000,-1.7584050893315377,44.20130502181045,Hatay Valiliği Yatırım İzleme ve Koordinasyon Başkanlığı Mustafa Kemal Üniversitesi Tayfur Sökmen Kampüsü Geçici Yerleşkesi,13.12.2023 16:30
2023/1324693,2023/1324693e-ihale,İl Müdürlüğümüze bağlı Hatay/Antakya ve Hatay/İskenderun İlçelerimizde bulunan Konteyner Kentlere 6 Adet Çok Amaçlı Açık Saha ve 4 Adet Semt Tipi Sentetik Çim Yüzeyli Futbol Sahası Yapım İşi,Yapım - Pazarlık - Pazarlık (MD 21 B),Verilemez,452100001,21.11.2023,Sonuç İlanı,"Hatay/Kırıkhan, Hatay/Samandağ, Hatay/Dörtyol,, Hatay/Reyhanlı, Hatay/Arsuz, Hatay/İskenderun, Hatay/Altınözü ve Hatay/İskenderun",HATAY GENÇLİK VE SPOR İL MÜDÜRLÜĞÜ TOPLANTI SALONU (ANTAKYA KIZ ÖĞRENCİ YURDU) - 12.12.2023 15:00,Sonuç İlanı Yayımlanmış,GENÇLİK VE SPOR İL MÜDÜRLÜKLERİ,GENÇLİK VE SPOR İL MÜDÜRLÜĞÜ,HATAY GENÇLİK VE SPOR İL MÜDÜRLÜĞÜ GENÇLİK VE SPOR İL MÜDÜRLÜKLERİ GENÇLİK VE SPOR İL MÜDÜRLÜĞÜ,HATAY,,"12.355.500,00 TRY","12.565.033,60 TRY",,28.12.2023,"12.550.000,00 TRY","12.355.500,00 TRY",Yok,,,12355500,12565033.6,12355500,12550000,-1.6675928347696551,1.5741977257091984,HATAY GENÇLİK VE SPOR İL MÜDÜRLÜĞÜ TOPLANTI SALONU (ANTAKYA KIZ ÖĞRENCİ YURDU),12.12.2023 15:00
